"","postal.code","Gemeinde"
"1",1030,"Bussigny"
"2",1203,"Genève"
"3",1260,"Nyon"
"4",1568,"Delley-Portalban"
"5",1700,"Fribourg"
"6",1700,"Fribourg"
"7",1700,"Fribourg"
"8",1716,"Plaffeien"
"9",1763,"Granges-Paccot"
"10",2000,"Neuchâtel"
"11",2500,"Biel/Bienne"
"12",2504,"Biel/Bienne"
"13",2504,"Biel/Bienne"
"14",2514,"Ligerz"
"15",2543,"Lengnau (BE) "
"16",2543,"Lengnau (BE) "
"17",2554,"Meinisberg"
"18",2854,"Haute-Sorne "
"19",3004,"Bern"
"20",3004,"Bern"
"21",3007,"Bern"
"22",3008,"Bern"
"23",3008,"Bern"
"24",3008,"Bern"
"25",3008,"Bern"
"26",3013,"Bern"
"27",3013,"Bern"
"28",3018,"Bern"
"29",3027,"Bern"
"30",3032,"Wohlen bei Bern"
"31",3052,"Zollikofen"
"32",3063,"Ittigen"
"33",3063,"Ittigen"
"34",3065,"Bollingen"
"35",3072,"Ostermundigen"
"36",3072,"Ostermundigen"
"37",3072,"Ostermundigen"
"38",3074,"Muri bei Bern"
"39",3075,"Worb"
"40",3076,"Worb"
"41",3095,"Köniz"
"42",3097,"Köniz"
"43",3110,"Münsingen"
"44",3115,"Gerzensee"
"45",3123,"Belp"
"46",3125,"Toffen"
"47",3174,"Köniz"
"48",3178,"Bösingen"
"49",3183,"Schwarzenburg"
"50",3186,"Düdingen"
"51",3213,"Kleinbösingen"
"52",3250,"Lyss"
"53",3270,"Aarberg"
"54",3270,"Aarberg"
"55",3270,"Aarberg"
"56",3322,"Mattstetten"
"57",3322,"Mattstetten"
"58",3322,"Urtenen-Schönbühl"
"59",3322,"Urtenen-Schönbühl"
"60",3324,"Hindelbank"
"61",3326,"Krauchthal"
"62",3360,"Herzogenbuchsee"
"63",3363,"Herzogenbuchsee "
"64",3400,"Burgdorf"
"65",3432,"Lützelflüh"
"66",3436,"Rüderswil "
"67",3472,"Wynigen"
"68",3472,"Rumendingen"
"69",3510,"Häutligen"
"70",3510,"Freimettigen"
"71",3510,"Konolfingen"
"72",3536,"Eggiwil"
"73",3538,"Röthenbach im Emmental"
"74",3550,"Langnau im Emmental"
"75",3552,"Langnau im Emmental"
"76",3600,"Thun"
"77",3604,"Thun"
"78",3604,"Thun"
"79",3628,"Uttigen"
"80",3633,"Amsoldingen"
"81",3633,"Amsoldingen"
"82",3661,"Uetendorf"
"83",3672,"Oberdiessbach"
"84",3700,"Spiez"
"85",3713,"Reichenbach im Kandertal"
"86",3752,"Wimmis"
"87",3775,"Lenk"
"88",3800,"Interlaken"
"89",3800,"Unterseen"
"90",3800,"Matten b. Interlaken"
"91",3812,"Wilderswil"
"92",3818,"Grindelwald"
"93",3862,"Innertkirchen"
"94",3862,"Innertkirchen"
"95",3902,"Brig-Glis"
"96",3905,"Saas-Almagell"
"97",3930,"Visp"
"98",4000,"Basel"
"99",4052,"Basel"
"100",4052,"Basel"
"101",4053,"Basel"
"102",4053,"Basel"
"103",4053,"Basel"
"104",4054,"Basel"
"105",4055,"Basel"
"106",4055,"Basel"
"107",4055,"Basel"
"108",4055,"Basel"
"109",4055,"Basel"
"110",4055,"Basel"
"111",4055,"Basel"
"112",4056,"Basel"
"113",4056,"Basel"
"114",4056,"Basel"
"115",4056,"Basel"
"116",4057,"Basel"
"117",4057,"Basel"
"118",4057,"Basel"
"119",4058,"Basel"
"120",4058,"Basel"
"121",4103,"Bottmingen"
"122",4123,"Allschwil"
"123",4123,"Allschwil"
"124",4123,"Allschwil"
"125",4123,"Allschwil"
"126",4125,"Riehen"
"127",4125,"Riehen"
"128",4127,"Birsfelden"
"129",4132,"Muttenz"
"130",4143,"Dornach"
"131",4144,"Arlesheim"
"132",4147,"Aesch (BL)"
"133",4147,"Aesch (BL)"
"134",4153,"Reinach BL"
"135",4242,"Laufen"
"136",4303,"Kaiseraugst"
"137",4310,"Rheinfelden"
"138",4313,"Möhlin"
"139",4412,"Nuglar-St. Pantaleon "
"140",4419,"Lupsingen"
"141",4450,"Sissach"
"142",4452,"Itingen"
"143",4452,"Itingen"
"144",4500,"Solothurn"
"145",4500,"Solothurn"
"146",4528,"Zuchwil"
"147",4528,"Zuchwil"
"148",4553,"Subingen"
"149",4562,"Biberist"
"150",4600,"Olten"
"151",4600,"Olten"
"152",4612,"Wangen bei Olten"
"153",4617,"Gunzgen"
"154",4633,"Hauenstein-Ifenthal "
"155",4702,"Oensingen"
"156",4704,"Niederbipp"
"157",4710,"Balsthal"
"158",4717,"Mümliswil"
"159",4800,"Zofingen"
"160",4800,"Zofingen"
"161",4802,"Strengelbach"
"162",4852,"Rothrist"
"163",4914,"Roggwil (BE)"
"164",4917,"Melchnau"
"165",4917,"Busswil bei Melchnau"
"166",4950,"Huttwil"
"167",4954,"Wyssachen"
"168",4955,"Gondiswil"
"169",5000,"Aarau"
"170",5012,"Eppenberg-Wöschnau "
"171",5012,"Schönenwerd"
"172",5014,"Gretzenbach"
"173",5014,"Gretzenbach"
"174",5018,"Erlinsbach (AG)"
"175",5024,"Küttigen"
"176",5034,"Suhr"
"177",5035,"Unterentfelden"
"178",5036,"Oberentfelden"
"179",5042,"Hirschthal"
"180",5210,"Windisch"
"181",5223,"Riniken"
"182",5242,"Lupfig"
"183",5242,"Lupfig"
"184",5242,"Birr"
"185",5242,"Birr"
"186",5312,"Döttingen"
"187",5330,"Zurzach"
"188",5332,"Zurzach"
"189",5400,"Baden"
"190",5412,"Gebenstorf"
"191",5415,"Obersiggenthal"
"192",5415,"Obersiggenthal"
"193",5415,"Obersiggenthal "
"194",5415,"Obersiggenthal "
"195",5417,"Untersiggenthal"
"196",5417,"Untersiggenthal"
"197",5430,"Wettingen"
"198",5430,"Wettingen"
"199",5430,"Wettingen"
"200",5432,"Neuenhof"
"201",5432,"Neuenhof"
"202",5442,"Fislisbach"
"203",5442,"Fislisbach"
"204",5466,"Zurzach"
"205",5507,"Mellingen"
"206",5524,"Niederwil (AG)"
"207",5610,"Wohlen (AG)"
"208",5612,"Villmergen"
"209",5621,"Zufikon"
"210",5623,"Boswil"
"211",5645,"Aettenschwil "
"212",5704,"Egliswil"
"213",5707,"Seengen"
"214",5722,"Gränichen"
"215",5722,"Gränichen"
"216",5722,"Gränichen"
"217",5734,"Reinach (AG)"
"218",6000,"Luzern"
"219",6003,"Luzern"
"220",6004,"Luzern"
"221",6010,"Kriens"
"222",6015,"Luzern"
"223",6017,"Ruswil"
"224",6020,"Emmen"
"225",6020,"Emmen"
"226",6020,"Emmen"
"227",6020,"Emmen"
"228",6023,"Rothenburg"
"229",6030,"Ebikon"
"230",6038,"Gisikon"
"231",6038,"Honau"
"232",6045,"Meggen"
"233",6048,"Horw"
"234",6048,"Horw"
"235",6074,"Giswil"
"236",6122,"Menznau"
"237",6130,"Willisau"
"238",6132,"Willisau"
"239",6142,"Willisau"
"240",6206,"Neuenkirch"
"241",6207,"Nottwil"
"242",6215,"Beromünster"
"243",6243,"Egolzwil"
"244",6247,"Schötz"
"245",6265,"Roggliswil"
"246",6280,"Hochdorf"
"247",6280,"Hochdorf"
"248",6285,"Hitzkirch"
"249",6300,"Zug"
"250",6300,"Zug"
"251",6330,"Cham"
"252",6340,"Baar"
"253",6343,"Risch"
"254",6343,"Risch"
"255",6370,"Oberdorf (NW)"
"256",6370,"Stans"
"257",6403,"Küssnacht (SZ)"
"258",6403,"Küssnacht (SZ)"
"259",6403,"Küssnacht (SZ)"
"260",6422,"Steinen"
"261",6440,"Ingenbohl"
"262",6460,"Altdorf (UR)"
"263",6460,"Altdorf (UR)"
"264",6465,"Unterschächen"
"265",6500,"Bellinzona"
"266",6600,"Locarno"
"267",6600,"Muralto"
"268",6950,"Capriasca"
"269",6982,"Agno"
"270",7000,"Chur"
"271",7000,"Chur"
"272",7208,"Malans GR"
"273",7220,"Schiers"
"274",7233,"Jenaz"
"275",7250,"Klosters"
"276",7270,"Davos "
"277",7323,"Vilters-Wangs "
"278",7402,"Bonaduz"
"279",8000,"Zürich"
"280",8001,"Zürich"
"281",8001,"Zürich"
"282",8001,"Zürich"
"283",8002,"Zürich"
"284",8002,"Zürich"
"285",8003,"Zürich"
"286",8004,"Zürich"
"287",8004,"Zürich"
"288",8005,"Zürich"
"289",8005,"Zürich"
"290",8005,"Zürich"
"291",8006,"Zürich"
"292",8008,"Zürich"
"293",8037,"Zürich"
"294",8037,"Zürich"
"295",8037,"Zürich"
"296",8041,"Zürich"
"297",8046,"Zürich"
"298",8046,"Zürich"
"299",8047,"Zürich"
"300",8047,"Zürich"
"301",8048,"Zürich"
"302",8048,"Zürich"
"303",8048,"Zürich"
"304",8048,"Zürich"
"305",8048,"Zürich"
"306",8049,"Zürich"
"307",8049,"Zürich"
"308",8049,"Zürich"
"309",8050,"Zürich"
"310",8050,"Zürich"
"311",8052,"Zürich"
"312",8057,"Zürich"
"313",8057,"Zürich"
"314",8102,"Oberengstringen"
"315",8108,"Dällikon"
"316",8114,"Dänikon "
"317",8122,"Maur"
"318",8126,"Zumikon"
"319",8132,"Egg"
"320",8135,"Langnau am Albis"
"321",8152,"Opfikon"
"322",8152,"Opfikon"
"323",8152,"Opfikon"
"324",8152,"Opfikon"
"325",8153,"Rümlang"
"326",8153,"Rümlang"
"327",8156,"Niederhasli "
"328",8157,"Dielsdorf"
"329",8173,"Neerach"
"330",8180,"Bülach"
"331",8180,"Bülach"
"332",8180,"Bülach"
"333",8180,"Bülach"
"334",8180,"Bülach"
"335",8180,"Bülach"
"336",8182,"Hochfelden"
"337",8185,"Winkel"
"338",8185,"Winkel"
"339",8187,"Weiach"
"340",8193,"Eglisau"
"341",8193,"Eglisau"
"342",8193,"Eglisau"
"343",8197,"Rafz"
"344",8200,"Schaffhausen"
"345",8212,"Neuhausen am Rheinfall"
"346",8212,"Neuhausen am Rheinfall"
"347",8212,"Neuhausen am Rheinfall"
"348",8222,"Beringen"
"349",8222,"Beringen"
"350",8222,"Beringen"
"351",8238,"Büsingen"
"352",8240,"Thayngen"
"353",8248,"Laufen-Uhwiesen "
"354",8280,"Kreuzlingen"
"355",8280,"Kreuzlingen"
"356",8302,"Kloten"
"357",8304,"Wallisellen"
"358",8310,"Lindau"
"359",8311,"Brütten"
"360",8330,"Pfäffikon ZH"
"361",8340,"Hinwil"
"362",8353,"Elgg"
"363",8355,"Aadorf"
"364",8356,"Aadorf"
"365",8362,"Bichelsee-Balterswil "
"366",8400,"Winterthur"
"367",8405,"Winterthur"
"368",8427,"Freienstein-Teufen"
"369",8427,"Rorbas"
"370",8444,"Henggart"
"371",8450,"Andelfingen"
"372",8450,"Andelfingen"
"373",8451,"Kleinandelfingen"
"374",8451,"Kleinandelfingen"
"375",8483,"Zell (ZH)"
"376",8500,"Frauenfeld"
"377",8500,"Frauenfeld"
"378",8512,"Thundorf"
"379",8523,"Hagenbuch "
"380",8535,"Herdern"
"381",8542,"Wiesendangen"
"382",8546,"Gachnang"
"383",8548,"Ellikon an der Thur"
"384",8552,"Felben-Wellhausen"
"385",8564,"Wäldi"
"386",8570,"Weinfelden"
"387",8572,"Berg (TG)"
"388",8580,"Sommeri"
"389",8580,"Hefenhofen"
"390",8580,"Amriswil"
"391",8590,"Romanshorn"
"392",8590,"Romanshorn"
"393",8595,"Altnau"
"394",8600,"Dübendorf"
"395",8600,"Dübendorf"
"396",8600,"Dübendorf"
"397",8600,"Dübendorf"
"398",8603,"Schwerzenbach"
"399",8606,"Greifensee"
"400",8610,"Uster"
"401",8623,"Wetzikon (ZH)"
"402",8625,"Gossau (ZH)"
"403",8630,"Rüti (ZH)"
"404",8630,"Rüti (ZH)"
"405",8632,"Dürnten"
"406",8634,"Hombrechtikon"
"407",8634,"Hombrechtikon"
"408",8702,"Zollikon"
"409",8703,"Erlenbach (ZH)"
"410",8707,"Uetikon am See"
"411",8712,"Stäfa"
"412",8716,"Schmerikon"
"413",8717,"Benken (SG)"
"414",8725,"Gommiswald"
"415",8730,"Uznach"
"416",8730,"Uznach"
"417",8730,"Uznach"
"418",8762,"Glarus Süd "
"419",8800,"Thalwil"
"420",8803,"Rüschlikon"
"421",8804,"Wädenswil"
"422",8805,"Richterswil"
"423",8856,"Tuggen"
"424",8863,"Schübelbach"
"425",8868,"Glarus Nord"
"426",8880,"Walenstadt"
"427",8902,"Urdorf"
"428",8903,"Birmensdorf (ZH)"
"429",8910,"Affoltern am Albis"
"430",8910,"Affoltern am Albis"
"431",8912,"Obfelden"
"432",8932,"Mettmenstetten"
"433",8952,"Schlieren"
"434",8952,"Schlieren"
"435",8952,"Schlieren"
"436",8953,"Dietikon"
"437",8954,"Geroldswil"
"438",8957,"Spreitenbach"
"439",8957,"Spreitenbach"
"440",9000,"St. Gallen"
"441",9000,"St. Gallen"
"442",9000,"St. Gallen"
"443",9000,"St. Gallen"
"444",9000,"St. Gallen"
"445",9008,"St. Gallen"
"446",9011,"St. Gallen"
"447",9014,"St. Gallen"
"448",9014,"St. Gallen"
"449",9016,"St. Gallen"
"450",9055,"Bühler"
"451",9100,"Herisau"
"452",9100,"Herisau"
"453",9100,"Herisau"
"454",9100,"Herisau"
"455",9100,"Herisau"
"456",9103,"Schwellbrunn"
"457",9103,"Schwellbrunn"
"458",9113,"Degersheim"
"459",9127,"St. Silvester"
"460",9230,"Flawil"
"461",9240,"Uzwil"
"462",9240,"Niederglatt"
"463",9244,"Uzwil"
"464",9320,"Arbon"
"465",9320,"Arbon"
"466",9400,"Rorschach"
"467",9424,"Rheineck"
"468",9430,"St. Margrethen SG"
"469",9435,"Au (SG)"
"470",9442,"Berneck"
"471",9442,"Berneck"
"472",9442,"Berneck"
"473",9444,"Diepoldsau"
"474",9450,"Altstätten"
"475",9450,"Altstätten"
"476",9451,"Oberriet"
"477",9452,"Eichberg"
"478",9469,"Sennwald"
"479",9470,"Buchs (SG)"
"480",9470,"Buchs (SG)"
"481",9470,"Buchs (SG)"
"482",9507,"Stettfurt"
"483",9514,"Wuppenau"
"484",9526,"Niederhelfenschwil "
"485",9532,"Rickenbach"
"486",9532,"Rickenbach (TG) "
"487",9533,"Kirchberg (SG)"
"488",9535,"Wilen (TG) "
"489",9542,"Münchwilen (TG)"
"490",9552,"Wil (SG) "
"491",9630,"Wattwil"
