Gemeinde;Preise2023
Pratteln ;25,65
Pratteln ;31,31
Pregny-Chambésy ;24,22
Premier ;32,26
Presinge ;24,22
Préverenges ;32,26
Prévondavaux ;30,94
Prévonloup ;31,56
Prez ;25,35
Prilly ;29,06
Provence ;31,56
Puidoux ;32,26
Pully ;34,96
Puplinge ;24,22
Pura ;28,52
Quarten ;22,28
Quarten ;33,78
Quinto ;29,24
Radelfingen ;25,5
Rafz ;21,88
Rain ;28,85
Ramlinsburg ;25,65
Ramsen ;24,4
Rances ;31,56
Raperswilen ;22,02
Rapperswil (BE) ;31,49
Rapperswil (BE) ;44,13
Rapperswil (BE) ;24
Rapperswil-Jona ;20,86
Raron ;25,27
Realp ;36,61
Rebévelier ;25,5
Rebstein ;30,87
Recherswil ;25,1
Rechthalten ;25,35
Reconvilier ;25,5
Regensberg ;21,88
Regensdorf ;21,88
Rehetobel ;26,72
Reichenbach im Kandertal ;25,5
Reichenburg ;37,85
Reiden ;28,85
Reigoldswil ;25,31
Reigoldswil ;26,32
Reinach (AG) ;21,46
Reinach (BL) ;31,31
Reisiswil ;25,5
Reitnau ;27,2
Remaufens ;25,35
Remetschwil ;25,89
Remetschwil ;26,09
Remigen ;25,13
Renan (BE) ;25,94
Renens (VD) ;37,25
Rennaz ;32,26
Reute (AR) ;30,87
Reute (AR) ;47,92
Reute (AR) ;37,66
Reutigen ;25,5
Rhäzüns ;28,47
Rheinau ;21,88
Rheineck ;28,93
Rheinfelden ;25,13
Rheinwald ;16,99
Riaz ;28,62
Richterswil ;21,88
Rickenbach (BL) ;25,65
Rickenbach (LU) ;28,85
Rickenbach (SO) ;31,5
Rickenbach (TG) ;25,64
Rickenbach (ZH) ;21,88
Riddes ;27,45
Ried bei Kerzers ;25,35
Ried-Brig ;28,75
Riederalp ;28,75
Riedholz ;25,1
Riehen ;31,73
Riemenstalden ;30,66
Rifferswil ;21,88
Riggisberg ;25,5
Riggisberg ;37,28
Ringgenberg (BE) ;24
Riniken ;22,96
Risch ;29,27
Riva San Vitale ;28,52
Rivaz ;32,26
Riviera ;29,24
Roche (VD) ;32,46
Rochefort ;26,95
Roches (BE) ;25,5
Rodersdorf ;31,31
Roggenburg ;25,5
Roggliswil ;28,85
Roggwil (BE) ;30,27
Roggwil (TG) ;22,84
Rohrbach ;25,5
Rohrbachgraben ;25,5
Rolle ;32,26
Romainmôtier-Envy ;32,26
Romanel-sur-Lausanne ;33,46
Romanel-sur-Morges ;32,26
Romanshorn ;20,26
Römerswil ;28,85
Romont (BE) ;25,5
Romont (FR) ;25,35
Romoos ;28,85
Ronco sopra Ascona ;29,24
Rongellen ;9,51
Root ;28,85
Ropraz ;31,56
Rorbas ;21,88
Rorschach ;25,61
Rorschacherberg ;19,96
Röschenz ;25,5
Rossa ;31,03
Rossemaison ;25,5
Rossenges ;31,56
Rossinière ;26,25
Röthenbach im Emmental ;25,5
Rothenbrunnen ;21,94
Rothenburg ;28,85
Rothenfluh ;25,65
Rothenthurm ;41,24
Rothrist ;33,28
Rougemont ;26,25
Roveredo (GR) ;36,26
Rovio ;28,52
Rovray ;31,56
Rubigen ;25,5
Rüderswil ;25
Rüderswil ;18,68
Rüdlingen ;24,4
Rudolfstetten-Friedlisberg ;35,75
Rüdtligen-Alchenflüh ;31,49
Rue ;25,35
Rüeggisberg ;25,5
Rüegsau ;25,5
Rueyres ;32,96
Rüfenach ;24,54
Rüfenach ;25,13
Rumendingen ;25,5
Rumisberg ;25,5
Rümlang ;30,14
Rümlingen ;25,65
Rünenberg ;25,65
Rupperswil ;27,28
Rüschegg ;25,5
Rüschlikon ;21,88
Russikon ;21,88
Russin ;24,22
Ruswil ;28,85
Rüte ;26,29
Rüthi (SG) ;30,32
Rüti (ZH) ;24,68
Rüti bei Büren ;46,19
Rüti bei Lyssach ;25,5
Rütschelen ;25,5
Rüttenen ;25,1
S-chanf ;25
Saanen ;25,5
Saas-Almagell ;36,15
Saas-Balen ;26,48
Saas-Fee ;36,45
Saas-Grund ;26,52
Saas-Grund ;24,79
Sachseln ;29,77
Safenwil ;25,13
Safiental ;21,83
Safiental ;26,56
Safnern ;23,49
Sagogn ;27,56
Saicourt ;25,5
Saignelégier ;25,79
Saignelégier ;25,5
Saillon ;27,45
Saint-Aubin (FR) ;25,35
Saint-Barthélemy (VD) ;31,56
Saint-Blaise ;32,33
Saint-Blaise ;32,33
Saint-Blaise ;33,33
Saint-Blaise ;33,33
Saint-Brais ;25,5
Saint-Cergue ;32,26
Saint-George ;31,56
Saint-Gingolph ;31,94
Saint-Imier ;32,66
Saint-Imier ;26,26
Saint-Léonard ;30,8
Saint-Livres ;39,93
Saint-Martin (FR) ;25,35
Saint-Martin (VS) ;30,8
Saint-Maurice ;27,45
Saint-Oyens ;32,26
Saint-Prex ;31,56
Saint-Saphorin (Lavaux) ;32,26
Saint-Sulpice (VD) ;28,26
Sainte-Croix ;32,26
Salenstein ;19,28
Sâles ;25,35
Salgesch ;30,8
Salmsach ;44,72
Salvan ;27,45
Samedan ;32,66
Samnaun ;24,55
San Vittore ;37,26
San Vittore ;33,25
Sant'Antonino ;21,9
Santa Maria in Calanca ;36,26
Sargans ;27,32
Sarmenstorf ;25,13
Sarnen ;29,77
Satigny ;24,22
Sattel ;24,96
Saubraz ;32,26
Sauge ;25,5
Saulcy ;25,5
Saules (BE) ;25,5
Savièse ;30,8
Savigny ;31,56
Savosa ;28,52
Saxeten ;25,5
Saxon ;27,45
Schaffhausen ;26,1
Schaffhausen ;24,4
Schafisheim ;32,04
Schangnau ;24
Schänis ;28,22
Scharans ;28,29
Schattdorf ;30,66
Schattenhalb ;24
Schattenhalb ;24,41
Schelten ;25,5
Schenkon ;28,85
Scheuren ;25,5
Schiers ;28,06
Schinznach ;25,13
Schlatt (TG) ;37,56
Schlatt (ZH) ;21,88
Schlatt-Haslen ;26,29
Schlatt-Haslen ;26,72
Schleinikon ;21,88
Schleitheim ;24,4
Schlierbach ;28,85
Schlieren ;21,88
Schlossrued ;25,13
Schluein ;27,56
Schmerikon ;27,64
Schmiedrued ;25,13
Schmitten (FR) ;25,35
Schmitten (GR) ;24,43
Schneisingen ;38,01
Schneisingen ;25,13
Schnottwil ;41,77
Schöfflisdorf ;21,88
Schöftland ;27,17
Schönenbuch ;31,31
Schönengrund ;26,65
Schönenwerd ;31,82
Schongau ;29,15
Schönholzerswilen ;22,05
Schötz ;28,85
Schübelbach ;37,03
Schupfart ;25,13
Schüpfen ;25,5
Schüpfheim ;28,85
Schwaderloch ;32,27
Schwadernau ;40,81
Schwadernau ;25,5
Schwanden bei Brienz ;24
Schwarzenberg ;25,87
Schwarzenberg ;24,8
Schwarzenberg ;24,8
Schwarzenberg ;25,87
Schwarzenburg ;25,5
Schwarzhäusern ;26
Schwellbrunn ;26,72
Schwellbrunn ;24,22
Schwende ;26,29
Schwerzenbach ;21,88
Schwyz ;24,96
Scuol ;22,42
Seeberg ;25,5
Seeberg ;33,25
Seedorf (BE) ;43,28
Seedorf (BE) ;25,5
Seedorf (UR) ;30,66
Seegräben ;21,88
Seehof ;25,5
Seelisberg ;30,66
Seengen ;25,13
Seewen ;31,31
Seewis im Prättigau ;28,06
Seftigen ;25,5
Seltisberg ;25,65
Selzach ;25,1
Sembrancher ;31,31
Sempach ;28,85
Semsales ;25,35
Senarclens ;31,56
Sennwald ;35,19
Sennwald ;27,32
Seon ;31,94
Sergey ;31,56
Serravalle ;29,24
Servion ;32,26
Seuzach ;21,88
Sévaz ;25,35
Sevelen ;36,98
Siblingen ;24,4
Sierre ;30,8
Siglistorf ;20,61
Signau ;26,48
Signau ;25,5
Signy-Avenex ;32,26
Sigriswil ;25,5
Silenen ;30,66
Sils im Domleschg ;10,53
Sils im Engadin/Segl ;28,16
Sils im Engadin/Segl ;24,44
Silvaplana ;28,16
Simplon ;11,33
Sins ;16,44
Sins ;27,31
Sion ;30,8
Sirnach ;33,62
Siselen ;30,83
Sisikon ;30,66
Sissach ;23,8
Sissach ;25,31
Sisseln ;20,18
Siviriez ;25,35
Soazza ;29,95
Solothurn ;28,8
Sommeri ;23,57
Sonceboz-Sombeval ;25,5
Sonvilier ;25,94
Soral ;24,22
Sorengo ;28,52
Sorens ;25,35
Sorvilier ;25,5
Soubey ;25,5
Soyhières ;25,5
Speicher ;26,72
Spiez ;25,5
Spiringen ;30,66
Spreitenbach ;25,87
St. Gallen ;27,23
St. Margrethen ;28,57
St. Moritz ;30,02
St. Niklaus ;27,36
St. Silvester ;25,35
St. Stephan ;25,5
St. Stephan ;30,03
St. Ursen ;25,35
Stabio ;26,48
Stadel ;21,88
Stäfa ;25,62
Staffelbach ;27,2
Stalden (VS) ;24,79
Stalden (VS) ;23,72
Staldenried ;26,45
Stallikon ;21,88
Stammheim ;21,88
Stans ;19,56
Stansstad ;19,56
Starrkirch-Wil ;31,95
Staufen ;29,93
Steckborn ;22,88
Steffisburg ;32,16
Steg-Hohtenn ;30,29
Stein (AG) ;25,13
Stein (AR) ;26,72
Stein am Rhein ;24,4
Steinach ;27,77
Steinach ;44,03
Steinen ;24,96
Steinerberg ;41,39
Steinhausen ;26,52
Steinmaur ;21,88
Stetten (AG) ;25,13
Stetten (SH) ;24,4
Stettfurt ;22,04
Stettlen ;25,5
Stocken-Höfen ;25,5
Strengelbach ;30,39
Studen (BE) ;25,5
Stüsslingen ;32,3
Subingen ;28,58
Suchy ;32,26
Sufers ;12,43
Suhr ;27,65
Sulgen ;33,03
Sullens ;31,56
Sumiswald ;38,6
Sumvitg ;27,56
Surpierre ;25,35
Sursee ;28,85
Surses ;23,83
Surses ;21,4
Suscévaz ;31,56
Sutz-Lattrigen ;25,5
Syens ;31,56
Tafers ;25,35
Tägerig ;25,13
Tägerwilen ;22,26
Tamins ;28,47
Tannay ;31,56
Tartegnin ;32,26
Täsch ;17,31
Täuffelen ;25,5
Tavannes ;25,5
Tecknau ;25,65
Tegerfelden ;25,13
Tenero-Contra ;29,24
Tenniken ;25,65
Tentlingen ;25,35
Termen ;28,75
Terre di Pedemonte ;29,24
Teufen (AR) ;26,72
Teufenthal (AG) ;32,85
Teuffenthal (BE) ;50,76
Tévenon ;32,26
Thal ;29,33
Thalheim (AG) ;19,09
Thalheim an der Thur ;21,88
Thalwil ;21,88
Thayngen ;24,4
Therwil ;31,31
Thierachern ;25,5
Thônex ;24,22
Thörigen ;25,5
Thun ;26,78
Thundorf ;22,91
Thunstetten ;25,5
Thurnen ;25,5
Thürnen ;25,65
Thusis ;13,3
Titterten ;25,65
Tobel-Tägerschen ;23,68
Toffen ;25,5
Tolochenaz ;32,26
Törbel ;24,79
Törbel ;23,48
Torny ;25,35
Torricella-Taverne ;28,52
Trachselwald ;25,5
Tramelan ;29,86
Trasadingen ;24,4
Treiten ;25,5
Trélex ;31,56
Tresa ;28,52
Trey ;26,25
Treycovagnes ;32,26
Treytorrens (Payerne) ;32,26
Treyvaux ;25,35
Triengen ;28,85
Trient ;27,45
Trimbach ;31,95
Trimmis ;21,13
Trin ;25,21
Trogen ;26,72
Troinex ;24,22
Troistorrents ;30,94
Trub ;25,5
Trubschachen ;25,5
Trüllikon ;21,88
Trun ;27,56
Truttikon ;21,88
Tschappina ;21,94
Tschiertschen-Praden ;25,37
Tschugg ;25,5
Tübach ;23,76
Tübach ;24,48
Tuggen ;38,31
Tujetsch ;27,12
Turbenthal ;21,88
Turgi ;25,13
Turtmann-Unterems ;22,75
Twann-Tüscherz ;25,5
Udligenswil ;28,85
Ueberstorf ;25,35
Uebeschi ;25,5
Ueken ;27,07
Uerkheim ;25,13
Uesslingen-Buch ;19,76
Uetendorf ;25,5
Uetikon am See ;26,87
Uezwil ;25,13
Ufhusen ;23,88
Uitikon ;21,88
Ulmiz ;25,35
Unterägeri ;30,8
Unterbäch ;20,17
Untereggen ;22,86
Unterengstringen ;21,88
Unterentfelden ;27,2
Unteriberg ;24,96
Unterkulm ;25,13
Unterlangenegg ;25,5
Unterlunkhofen ;38,29
Unterramsern ;31,49
Unterramsern ;32,39
Unterramsern ;31,49
Unterramsern ;32,39
Unterschächen ;30,66
Unterseen ;34,53
Untersiggenthal ;25,13
Untersiggenthal ;26,37
Untervaz ;19,23
Urdorf ;21,88
Urmein ;21,94
Urnäsch ;33,87
Ursenbach ;32,8
Ursins ;31,56
Ursy ;25,35
Urtenen-Schönbühl ;32,37
Uster ;28,89
Uttigen ;25,5
Uttwil ;20,26
Utzenstorf ;25,5
Uznach ;28,66
Uzwil ;27,72
Vacallo ;25,43
Val de Bagnes ;31,31
Val Müstair ;29,36
Val Terbi ;25,5
Val-d'Illiez ;31,94
Val-de-Charmey ;28,62
Val-de-Ruz ;26,95
Val-de-Travers ;26,95
Valbirse ;25,5
Valbroye ;32,26
Valeyres-sous-Montagny ;32,26
Valeyres-sous-Rances ;32,26
Valeyres-sous-Ursins ;31,56
Vallon ;25,35
Vallorbe ;30,43
Vals ;15,43
Valsot ;21,42
Vandoeuvres ;24,22
Varen ;22,75
Vaulion ;30,43
Vaulruz ;25,35
Vaux-sur-Morges ;31,56
Vaz/Obervaz ;24,64
Vechigen ;25,5
Veltheim (AG) ;25,13
Vendlincourt ;25,5
Vernate ;28,52
Vernayaz ;27,45
Vernier ;24,22
Vérossaz ;27,45
Versoix ;24,22
Verzasca ;29,24
Vétroz ;30,8
Vevey ;33,11
Vex ;30,8
Veyrier ;24,22
Veysonnaz ;30,8
Veytaux ;32,46
Vezia ;28,52
Vich ;25,98
Vico Morcote ;28,52
Villars-Epeney ;31,56
Villars-le-Comte ;31,56
Villars-le-Terroir ;31,56
Villars-Sainte-Croix ;32,26
Villars-sous-Yens ;31,56
Villars-sur-Glâne ;25,35
Villarsel-sur-Marly ;25,35
Villarzel ;31,56
Villaz ;25,35
Villeneuve (VD) ;32,66
Villeret ;25,94
Villigen ;21,11
Villmergen ;31,53
Villnachern ;24,54
Villorsonnens ;25,35
Vilters-Wangs ;24,95
Vinelz ;25,5
Vinzel ;32,26
Vionnaz ;31,94
Visp ;24,69
Visperterminen ;21,63
Vitznau ;41,39
Volken ;21,88
Volketswil ;21,88
Vordemwald ;33,28
Vorderthal ;40,63
Vouvry ;31,94
Vuadens ;25,35
Vuarrens ;32,26
Vucherens ;31,86
Vufflens-la-Ville ;31,56
Vufflens-le-Château ;31,56
Vugelles-La Mothe ;31,56
Vuisternens-devant-Romont ;25,35
Vuiteboeuf ;32,26
Vulliens ;31,56
Vullierens ;32,26
Vully-les-Lacs ;26,25
Wachseldorn ;25,5
Wädenswil ;21,88
Wagenhausen ;23,63
Wahlen ;25,5
Walchwil ;29,27
Wald (AR) ;26,72
Wald (BE) ;25,5
Wald (ZH) ;20,04
Waldenburg ;25,65
Wäldi ;36,06
Waldkirch ;57,58
Waldkirch ;42,24
Waldstatt ;26,72
Walenstadt ;27,09
Walkringen ;25,5
Wallbach ;25,13
Wallisellen ;26,52
Walliswil bei Niederbipp ;25,5
Walliswil bei Wangen ;25,5
Walperswil ;25,5
Waltenschwil ;25,13
Walterswil (BE) ;25,5
Walterswil (SO) ;31,95
Walzenhausen ;24,58
Wangen (SZ) ;35,99
Wangen an der Aare ;25,5
Wangen bei Olten ;31,95
Wangen-Brüttisellen ;21,88
Wangen-Brüttisellen ;23,97
Wangenried ;25,5
Wängi ;31,13
Wartau ;40,05
Wartau ;42,34
Wartau ;41,98
Wartau ;40,67
Warth-Weiningen ;21,58
Wassen ;30,66
Wasterkingen ;21,88
Wattenwil ;25,5
Wattwil ;31,66
Wauwil ;28,85
Weesen ;27,32
Wegenstetten ;25,13
Weggis ;41,39
Weiach ;35,33
Weinfelden ;27,26
Weiningen (ZH) ;21,88
Weisslingen ;21,88
Welschenrohr-Gänsbrunnen ;25,1
Wengi ;45,55
Wenslingen ;25,65
Werthenstein ;28,85
Wettingen ;31,77
Wettswil am Albis ;21,88
Wetzikon (ZH) ;29,27
Wichtrach ;25,5
Widen ;19,66
Widnau ;31,6
Wiedlisbach ;25,5
Wiesendangen ;21,88
Wiggiswil ;32,39
Wigoltingen ;48,48
Wigoltingen ;19,58
Wikon ;28,85
Wil (SG) ;48,34
Wil (SG) ;27,35
Wil (SG) ;22,91
Wil (ZH) ;21,88
Wila ;21,88
Wilchingen ;24,4
Wildberg ;21,88
Wilderswil ;30,63
Wildhaus-Alt St. Johann ;27,32
Wilen (TG) ;28,93
Wiler (Lötschen) ;25,73
Wiler bei Utzenstorf ;25,5
Wileroltigen ;25,5
Wiliberg ;27,2
Willadingen ;33,88
Willisau ;33,22
Willisau ;28,85
Wimmis ;24
Windisch ;39,97
Winkel ;21,88
Wintersingen ;25,65
Winterthur ;28,25
Winznau ;31,95
Wisen (SO) ;31,95
Wittenbach ;32,91
Wittenbach ;26,57
Witterswil ;31,31
Wittinsburg ;25,65
Wittnau ;24,82
Wohlen (AG) ;27,02
Wohlen bei Bern ;25,5
Wohlenschwil ;25,21
Wolfenschiessen ;19,56
Wolfhalden ;32,29
Wölflinswil ;24,62
Wolfwil ;21,39
Wolhusen ;28,85
Wollerau ;24,11
Worb ;70,78
Worb ;26
Worben ;25,5
Wünnewil-Flamatt ;25,35
Wuppenau ;18,43
Würenlingen ;39,13
Würenlos ;22,44
Wynau ;39,71
Wynigen ;25,5
Wyssachen ;25,5
Yens ;31,56
Yverdon-les-Bains ;37,29
Yvonand ;32,26
Yvorne ;32,96
Zäziwil ;25,5
Zeglingen ;25,65
Zeihen ;22,97
Zeiningen ;35,67
Zell (LU) ;28,85
Zell (ZH) ;21,88
Zeneggen ;27,03
Zermatt ;17,29
Zernez ;22,92
Zetzwil ;21,46
Ziefen ;25,65
Zielebach ;25,1
Zihlschlacht-Sitterdorf ;23,58
Zihlschlacht-Sitterdorf ;34,62
Zihlschlacht-Sitterdorf ;43,79
Zillis-Reischen ;10,51
Zizers ;28,06
Zofingen ;30,19
Zollikofen ;25,5
Zollikon ;26,58
Zuchwil ;25
Zuchwil ;28,18
Zufikon ;33,34
Zug ;29,27
Zullwil ;31,31
Zumikon ;21,88
Zunzgen ;25,65
Zuoz ;28,06
Zürich ;22,39
Zurzach ;34,77
Zurzach ;20,49
Zurzach ;25,13
Zurzach ;18,91
Zuzgen ;25,13
Zuzwil (BE) ;32,39
Zuzwil (SG) ;31,13
Zweisimmen ;25,5
Zwieselberg ;25,5
Zwingen ;25,5
Zwischbergen ;8,49